Lenguaje,Cantidad de repositorios
JavaScript,1099966
CSS,807826
HTML,777433
Shell,640886
Python,550905
Ruby,374276
Java,369673
PHP,339426
C,293231
C++,277871
Makefile,251366
Objective-C,166961
C#,133110
Perl,101533
Batchfile,97868
Go,91867
CoffeeScript,68589
ApacheConf,68500
CMake,56754
TypeScript,48027
Assembly,47681
Swift,42605
Scala,34562
Lua,34431
PowerShell,33176
ASP,32781
XSLT,32226
TeX,31554
Haskell,30061
R,29356
Groovy,27229
Dockerfile,27176
Clojure,25896
Groff,25635
Awk,20625
Arduino,20424
VimL,18977
Objective-C++,17946
Matlab,17524
QMake,17506
Smarty,17346
Jupyter Notebook,17332
Emacs Lisp,16755
Rust,15907
M4,15776
Puppet,14936
Erlang,14909
GLSL,13904
Yacc,13695
Scilab,13050
Lex,12506
Roff,12132
Protocol Buffer,11668
Prolog,11119
Visual Basic,10464
Pascal,10137
SCSS,9538
UnrealScript,9503
PLpgSQL,9235
Vim script,9233
SourcePawn,9036
ActionScript,8755
Vue,8671
Nginx,8516
Tcl,8131
NSIS,8081
Kotlin,7977
Handlebars,7670
Cucumber,7402
Scheme,7241
D,7196
Elixir,6819
Processing,6774
PLSQL,6752
Julia,5897
F#,5888
Dart,5791
Common Lisp,5682
OCaml,5645
Smalltalk,5589
IDL,5299
Perl6,5279
QML,5251
SQLPL,5121
M,4903
Gherkin,4862
Logos,4502
Cuda,4402
Mako,4336
PostScript,4144
GAP,4091
AppleScript,4086
DIGITAL Command Language,3839
Racket,3766
Inno Setup,3731
SuperCollider,3718
FORTRAN,3716
Bison,3639
FreeMarker,3567
Thrift,3525
